"Carimbo de data/hora","Ja é aluno da INFNET?","Qual seu nivel de formação?","Qual sua renda pessoal?","Quantas pessoas na casa ou dependentes?","Qual sua renda familiar?","Qual sua idade?","Qual seu sexo?","Qual sua área de interesse principal?","Qual sua área de interesse secundaria (Opcional)?","Quanto tempo dedicaria para um curso profissionalizante ?","Como você lida com prazos apertados e pressão?","Qual sua afinidade com tecnologia?","Qual seu nível de matemática na sua opinião ?","Qual seu estilo musical preferido?","Qual dos seguintes cenários você considera mais estimulante?","Em um filme de ficção científica, o que te fascina mais?","O que te motiva mais em um trabalho?","Se você pudesse ter superpoder, qual escolheria?","Quando você precisa resolver um problema complexo, qual é a sua primeira ação?"
"2025/09/10 12:13:56 PM GMT-3","Sim","Cursando Ensino Superior","De R$ 5.001 a R$ 7.500 (3,5–5 SM)","2","Sem renda familiar","25","Masculino","Engenharia de Computação","Segurança da Informação e Defesa Cibernética","5 anos ou mais","Muito Bem","Alta","Médio","Eletronica, Afrobeats ou Drum n Bass","Construir um robô que resolve problemas do dia a dia.","A segurança dos sistemas e os códigos de acesso.","A oportunidade de usar a criatividade para inovar.","A habilidade de criar objetos e mundos com a mente","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/10 12:16:56 PM GMT-3","Sim","Cursando Ensino Superior","De R$ 1.501 a R$ 3.000 (1–2 SM)","3","De R$ 3.001 a R$ 5.000 (2–3,5 SM)","21","Masculino","Engenharia de Software","Segurança da Informação e Defesa Cibernética","2 anos e meio","Bem","Alta","Médio","Outros","Proteger dados sensíveis de um vazamento cibernético.","A inteligência artificial e os robôs.","A possibilidade de construir e ver um produto funcionando.","A habilidade de criar objetos e mundos com a mente","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/10 2:16:52 PM GMT-3","Sim","Cursando Ensino Superior","De R$ 3.001 a R$ 5.000 (2–3,5 SM)","2","De R$ 7.501 a R$ 10.000 (5–7 SM)","23","Masculino","Engenharia de Software","Banco de Dados (Engenharia de Dados)","4 anos","Bem","Alta","Avançado","Outros","Proteger dados sensíveis de um vazamento cibernético.","As tecnologias usadas para se comunicar e transferir dados.","A oportunidade de usar a criatividade para inovar.","O poder de ficar invisível","Coletar o máximo de dados e informações para entender a causa."
"2025/09/10 2:39:33 PM GMT-3","Sim","Cursando Ensino Superior","Até R$ 1.500 (~até 1 SM)","2","Até R$ 3.000 (até ~2 SM)","43","Masculino","Engenharia de Software","Banco de Dados (Engenharia de Dados)","4 anos","Bem","Alta","Médio","Clássica, Jazz ou Romantica","Construir um robô que resolve problemas do dia a dia.","A inteligência artificial e os robôs.","A possibilidade de construir e ver um produto funcionando.","A capacidade de prever o futuro","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/10 4:01:23 PM GMT-3","Sim","Cursando Ensino Superior","De R$ 3.001 a R$ 5.000 (2–3,5 SM)","2","De R$ 5.001 a R$ 7.500 (3,5–5 SM)","21","Masculino","Engenharia de Dados e Inteligência Artificial","Ciência de Dados (e Inteligência Artificial)","5 anos ou mais","Mal","Alta","Médio","Eletronica, Afrobeats ou Drum n Bass","Construir um robô que resolve problemas do dia a dia.","A inteligência artificial e os robôs.","A oportunidade de usar a criatividade para inovar.","A habilidade de criar objetos e mundos com a mente","Coletar o máximo de dados e informações para entender a causa."
"2025/09/10 4:51:31 PM GMT-3","Sim","Ensino Médio + Técnico","Até R$ 1.500 (~até 1 SM)","7","Prefiro não informar","18","Masculino","Segurança da Informação e Defesa Cibernética","Tecnologia da Informação (Infraestrutura, Programação e Dados)","2 anos e meio","Bem","Média","Médio","Góspel, Hinos ou Canticos","Proteger dados sensíveis de um vazamento cibernético.","O visual, os efeitos especiais e o design dos cenários.","A oportunidade de usar a criatividade para inovar.","A capacidade de entender e consertar qualquer coisa","Coletar o máximo de dados e informações para entender a causa."
"2025/09/10 5:51:02 PM GMT-3","Sim","Cursando Ensino Superior","De R$ 1.501 a R$ 3.000 (1–2 SM)","4","De R$ 10.001 a R$ 15.000 (7–10 SM)","20 ","Femenino","Design Gráfico e Digital ou de Animação","Marketing Digital","4 anos","Muito Bem","Alta","Médio","Outros","Criar um jogo eletrônico divertido e viciante.","O visual, os efeitos especiais e o design dos cenários.","A oportunidade de usar a criatividade para inovar.","A habilidade de criar objetos e mundos com a mente","Coletar o máximo de dados e informações para entender a causa."
"2025/09/10 5:51:21 PM GMT-3","Sim","Ensino Superior Completo","De R$ 15.001 a R$ 20.000 (10–14 SM)","2","Acima de R$ 30.000 (21+ SM)","28","Femenino","Segurança da Informação e Defesa Cibernética","","4 anos","Mal","Pouca","Iniciante","Outros","Proteger dados sensíveis de um vazamento cibernético.","O visual, os efeitos especiais e o design dos cenários.","A possibilidade de construir e ver um produto funcionando.","A capacidade de entender e consertar qualquer coisa","Coletar o máximo de dados e informações para entender a causa."
"2025/09/10 6:10:12 PM GMT-3","Sim","Ensino Superior Completo","De R$ 10.001 a R$ 15.000 (7–10 SM)","4","De R$ 20.001 a R$ 30.000 (14–21 SM)","41","Femenino","Ciência de Dados (e Inteligência Artificial)","Engenharia de Dados e Inteligência Artificial","2 anos e meio","Muito Mal","Alta","Médio","Clássica, Jazz ou Romantica","Construir um robô que resolve problemas do dia a dia.","A inteligência artificial e os robôs.","A chance de analisar informações e encontrar padrões.","O poder de ficar invisível","Coletar o máximo de dados e informações para entender a causa."
"2025/09/10 6:34:38 PM GMT-3","Sim","Cursando Ensino Superior","Sem renda","2","Até R$ 3.000 (até ~2 SM)","20","Femenino","Engenharia de Software","Jogos Digitais","4 anos","Bem","Alta","Médio","Outros","Proteger dados sensíveis de um vazamento cibernético.","A segurança dos sistemas e os códigos de acesso.","A possibilidade de construir e ver um produto funcionando.","A habilidade de criar objetos e mundos com a mente","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/10 6:57:27 PM GMT-3","Sim","Ensino Superior Completo","De R$ 7.501 a R$ 10.000 (5–7 SM)","0","De R$ 7.501 a R$ 10.000 (5–7 SM)","27","Outros (LGBT, Trans...)","Design Gráfico e Digital ou de Animação","Marketing Digital","2 anos e meio","Bem","Alta","Médio","Rock e Metal","Criar um jogo eletrônico divertido e viciante.","A inteligência artificial e os robôs.","A oportunidade de usar a criatividade para inovar.","A habilidade de criar objetos e mundos com a mente","Buscar ferramentas e tecnologias que possam automatizar a solução."
"2025/09/10 6:58:36 PM GMT-3","Sim","Ensino Superior Completo","De R$ 3.001 a R$ 5.000 (2–3,5 SM)","3","De R$ 7.501 a R$ 10.000 (5–7 SM)","31","Masculino","Engenharia de Software","Segurança da Informação e Defesa Cibernética","4 anos","Mal","Média","Avançado","Outros","Criar um jogo eletrônico divertido e viciante.","O visual, os efeitos especiais e o design dos cenários.","A possibilidade de construir e ver um produto funcionando.","A capacidade de prever o futuro","Coletar o máximo de dados e informações para entender a causa."
"2025/09/10 8:20:26 PM GMT-3","Sim","Cursando Ensino Superior","Sem renda","4","Até R$ 3.000 (até ~2 SM)","21","Femenino","Segurança da Informação e Defesa Cibernética","","4 anos","Bem","Média","Médio","Clássica, Jazz ou Romantica","Proteger dados sensíveis de um vazamento cibernético.","O visual, os efeitos especiais e o design dos cenários.","A responsabilidade de manter a estabilidade e segurança.","A capacidade de entender e consertar qualquer coisa","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/10 8:40:43 PM GMT-3","Sim","Cursando Ensino Superior","De R$ 1.501 a R$ 3.000 (1–2 SM)","4","De R$ 7.501 a R$ 10.000 (5–7 SM)","27","Femenino","Jogos Digitais","Marketing Digital","4 anos","Bem","Alta","Médio","Rock e Metal","Criar um jogo eletrônico divertido e viciante.","O visual, os efeitos especiais e o design dos cenários.","A chance de analisar informações e encontrar padrões.","A capacidade de entender e consertar qualquer coisa","Pensar na solução mais criativa ou que possa ser descrita visualmente"
"2025/09/10 8:45:13 PM GMT-3","Sim","Cursando Ensino Superior","Até R$ 1.500 (~até 1 SM)","2","Prefiro não informar","22","Femenino","Engenharia de Software","Ciência de Dados (e Inteligência Artificial)","4 anos","Mal","Média","Iniciante","Rock e Metal","Criar um jogo eletrônico divertido e viciante.","O visual, os efeitos especiais e o design dos cenários.","A responsabilidade de manter a estabilidade e segurança.","A capacidade de entender e consertar qualquer coisa","Coletar o máximo de dados e informações para entender a causa."
"2025/09/10 9:03:27 PM GMT-3","Sim","Ensino Superior Completo","De R$ 5.001 a R$ 7.500 (3,5–5 SM)","3","Prefiro não informar","39","Femenino","Design Gráfico e Digital ou de Animação","Engenharia de Dados e Inteligência Artificial","2 anos e meio","Mal","Média","Médio","Outros","Construir um robô que resolve problemas do dia a dia.","O visual, os efeitos especiais e o design dos cenários.","A oportunidade de usar a criatividade para inovar.","A capacidade de entender e consertar qualquer coisa","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/10 9:15:33 PM GMT-3","Sim","Ensino Superior Completo","De R$ 3.001 a R$ 5.000 (2–3,5 SM)","4","De R$ 10.001 a R$ 15.000 (7–10 SM)","36","Masculino","Análise e Desenvolvimento de Sistemas","Engenharia de Software","2 anos e meio","Mal","Média","Médio","Rock e Metal","Construir um robô que resolve problemas do dia a dia.","A inteligência artificial e os robôs.","A chance de analisar informações e encontrar padrões.","A capacidade de entender e consertar qualquer coisa","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/10 9:41:24 PM GMT-3","Sim","Cursando Ensino Superior","Sem renda","4","De R$ 7.501 a R$ 10.000 (5–7 SM)","20","Femenino","Análise e Desenvolvimento de Sistemas","Jogos Digitais","5 anos ou mais","Mal","Alta","Médio","Rock e Metal","Criar um jogo eletrônico divertido e viciante.","O visual, os efeitos especiais e o design dos cenários.","A possibilidade de construir e ver um produto funcionando.","A habilidade de criar objetos e mundos com a mente","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/10 10:18:00 PM GMT-3","Sim","Ensino Médio + Técnico","De R$ 1.501 a R$ 3.000 (1–2 SM)","1","De R$ 7.501 a R$ 10.000 (5–7 SM)","35","Femenino","Design Gráfico e Digital ou de Animação","Jogos Digitais","2 anos e meio","Bem","Alta","Médio","Outros","Criar um jogo eletrônico divertido e viciante.","A segurança dos sistemas e os códigos de acesso.","A oportunidade de usar a criatividade para inovar.","A habilidade de criar objetos e mundos com a mente","Coletar o máximo de dados e informações para entender a causa."
"2025/09/11 8:35:53 AM GMT-3","Sim","Cursando Ensino Superior","Acima de R$ 20.000 (14+ SM)","2","De R$ 20.001 a R$ 30.000 (14–21 SM)","29","Femenino","Engenharia de Software","Marketing Digital","4 anos","Mal","Média","Iniciante","Eletronica, Afrobeats ou Drum n Bass","Criar um jogo eletrônico divertido e viciante.","O visual, os efeitos especiais e o design dos cenários.","A oportunidade de usar a criatividade para inovar.","A capacidade de prever o futuro","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/11 10:57:50 AM GMT-3","Sim","Ensino Superior Completo","De R$ 1.501 a R$ 3.000 (1–2 SM)","1","Até R$ 3.000 (até ~2 SM)","26","Masculino","Segurança da Informação e Defesa Cibernética","Engenharia de Dados e Inteligência Artificial","2 anos e meio","Bem","Alta","Médio","Outros","Proteger dados sensíveis de um vazamento cibernético.","O visual, os efeitos especiais e o design dos cenários.","A possibilidade de construir e ver um produto funcionando.","A capacidade de prever o futuro","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/11 2:10:08 PM GMT-3","Sim","Cursando Ensino Superior","De R$ 1.501 a R$ 3.000 (1–2 SM)","4","De R$ 3.001 a R$ 5.000 (2–3,5 SM)","32","Masculino","Engenharia de Software","Segurança da Informação e Defesa Cibernética","2 anos e meio","Bem","Alta","Iniciante","Rock e Metal","Criar um jogo eletrônico divertido e viciante.","A inteligência artificial e os robôs.","A possibilidade de construir e ver um produto funcionando.","A habilidade de criar objetos e mundos com a mente","Coletar o máximo de dados e informações para entender a causa."
"2025/09/12 5:49:30 PM GMT-3","Não","Cursando Ensino Superior","Sem renda","3","De R$ 3.001 a R$ 5.000 (2–3,5 SM)","20","Masculino","Análise e Desenvolvimento de Sistemas","Jogos Digitais","4 anos","Bem","Média","Iniciante","Outros","Construir um robô que resolve problemas do dia a dia.","O visual, os efeitos especiais e o design dos cenários.","A oportunidade de usar a criatividade para inovar.","A habilidade de criar objetos e mundos com a mente","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/13 2:18:22 PM GMT-3","Sim","Ensino Superior Completo","De R$ 1.501 a R$ 3.000 (1–2 SM)","3","De R$ 3.001 a R$ 5.000 (2–3,5 SM)","32","Masculino","Engenharia de Software","Banco de Dados (Engenharia de Dados)","2 anos e meio","Bem","Média","Médio","Outros","Criar um jogo eletrônico divertido e viciante.","As tecnologias usadas para se comunicar e transferir dados.","A possibilidade de construir e ver um produto funcionando.","A capacidade de entender e consertar qualquer coisa","Pensar na solução mais criativa ou que possa ser descrita visualmente"
"2025/09/13 3:01:01 PM GMT-3","Sim","Cursando Ensino Superior","Até R$ 1.500 (~até 1 SM)","4","De R$ 7.501 a R$ 10.000 (5–7 SM)","20","Femenino","Engenharia de Software","Análise e Desenvolvimento de Sistemas","5 anos ou mais","Bem","Média","Médio","Góspel, Hinos ou Canticos","Proteger dados sensíveis de um vazamento cibernético.","As tecnologias usadas para se comunicar e transferir dados.","A chance de analisar informações e encontrar padrões.","A capacidade de entender e consertar qualquer coisa","Buscar ferramentas e tecnologias que possam automatizar a solução."
"2025/09/13 6:30:26 PM GMT-3","Sim","Ensino Superior Completo","De R$ 7.501 a R$ 10.000 (5–7 SM)","2","De R$ 10.001 a R$ 15.000 (7–10 SM)","25","Femenino","Design Gráfico e Digital ou de Animação","","2 anos e meio","Muito Bem","Alta","Médio","Funk, Hip-hop ou Rap","Desenvolver uma campanha de anúncios online que atrai milhares de clientes.","O visual, os efeitos especiais e o design dos cenários.","A oportunidade de usar a criatividade para inovar.","A habilidade de criar objetos e mundos com a mente","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/15 9:11:38 PM GMT-3","Sim","Ensino Superior Completo","De R$ 1.501 a R$ 3.000 (1–2 SM)","3","De R$ 5.001 a R$ 7.500 (3,5–5 SM)","23","Femenino","Engenharia de Software","","4 anos","Bem","Alta","Médio","Outros","Construir um robô que resolve problemas do dia a dia.","As tecnologias usadas para se comunicar e transferir dados.","A oportunidade de usar a criatividade para inovar.","A habilidade de criar objetos e mundos com a mente","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/15 9:22:08 PM GMT-3","Sim","Ensino Superior Completo","De R$ 7.501 a R$ 10.000 (5–7 SM)","2","De R$ 7.501 a R$ 10.000 (5–7 SM)","53","Femenino","Tecnologia da Informação (Infraestrutura, Programação e Dados)","Análise e Desenvolvimento de Sistemas","4 anos","Bem","Alta","Avançado","Rock e Metal","Construir um robô que resolve problemas do dia a dia.","O visual, os efeitos especiais e o design dos cenários.","A possibilidade de construir e ver um produto funcionando.","A capacidade de entender e consertar qualquer coisa","Coletar o máximo de dados e informações para entender a causa."
"2025/09/15 9:51:51 PM GMT-3","Sim","Cursando Ensino Superior","Sem renda","4","De R$ 7.501 a R$ 10.000 (5–7 SM)","29","Masculino","Engenharia de Software","Engenharia de Computação","2 anos e meio","Bem","Alta","Médio","Góspel, Hinos ou Canticos","Criar um jogo eletrônico divertido e viciante.","As tecnologias usadas para se comunicar e transferir dados.","A possibilidade de construir e ver um produto funcionando.","A capacidade de entender e consertar qualquer coisa","Coletar o máximo de dados e informações para entender a causa."
"2025/09/15 9:57:58 PM GMT-3","Sim","Ensino Superior Completo","De R$ 3.001 a R$ 5.000 (2–3,5 SM)","1","De R$ 3.001 a R$ 5.000 (2–3,5 SM)","28","Masculino","Engenharia de Software","Redes de Computadores (Cloud e Segurança)","4 anos","Bem","Alta","Médio","Funk, Hip-hop ou Rap","Proteger dados sensíveis de um vazamento cibernético.","A inteligência artificial e os robôs.","A possibilidade de construir e ver um produto funcionando.","A capacidade de entender e consertar qualquer coisa","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/17 2:45:31 PM GMT-3","Sim","Ensino Superior Completo","Sem renda","1","Sem renda familiar","27","Femenino","Ciência de Dados (e Inteligência Artificial)","Engenharia de Computação","2 anos e meio","Muito Bem","Alta","Médio","Outros","Construir um robô que resolve problemas do dia a dia.","A inteligência artificial e os robôs.","A oportunidade de usar a criatividade para inovar.","A capacidade de prever o futuro","Quebrar o problema em partes menores e analisar cada uma."
"2025/09/17 4:13:49 PM GMT-3","Sim","Cursando Ensino Superior","Até R$ 1.500 (~até 1 SM)","2","De R$ 5.001 a R$ 7.500 (3,5–5 SM)","21","Masculino","Engenharia de Software","Jogos Digitais","2 anos e meio","Bem","Alta","Médio","Rock e Metal","Construir um robô que resolve problemas do dia a dia.","O visual, os efeitos especiais e o design dos cenários.","A possibilidade de construir e ver um produto funcionando.","A capacidade de prever o futuro","Buscar ferramentas e tecnologias que possam automatizar a solução."
"2025/09/18 8:17:53 PM GMT-3","Sim","Cursando Ensino Superior","Até R$ 1.500 (~até 1 SM)","2","De R$ 15.001 a R$ 20.000 (10–14 SM)","25","Masculino","Análise e Desenvolvimento de Sistemas","Segurança da Informação e Defesa Cibernética","2 anos e meio","Bem","Alta","Médio","Outros","Proteger dados sensíveis de um vazamento cibernético.","O visual, os efeitos especiais e o design dos cenários.","A responsabilidade de manter a estabilidade e segurança.","A capacidade de prever o futuro","Quebrar o problema em partes menores e analisar cada uma."
